Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-06-10 07:00:00,19.11318182,109.9275,14.1525,
2019-06-10 07:20:00,22.08431818,261.2225,19.355,
2019-06-10 07:40:00,27.00386364,359.1675,26.69,
2019-06-10 08:00:00,31.25363636,443.4025,31.7025,
2019-06-10 08:20:00,36.94113636,404.8375,27.3475,
2019-06-10 08:40:00,42.60272727,781.3725,39.035,
2019-06-10 09:00:00,48.90318182,772.0775,44.7025,
2019-06-10 09:20:00,51.2,940.9975,43.315,
2019-06-10 09:40:00,55.02,936.1425,42.7425,
2019-06-10 10:00:00,59.40204545,993.61,42.295,
2019-06-10 10:20:00,60.0525,959.9175,44.9225,
2019-06-10 10:40:00,61.24340909,1228.5475,51.12,
2019-06-10 11:00:00,60.1975,574.6725,39.26,
2019-06-10 11:20:00,58.6275,1020.07,51.0075,
2019-06-10 11:40:00,59.06704545,1212.9975,53.105,
2019-06-10 12:00:00,56.07318182,493.315,37.1525,
2019-06-10 12:20:00,52.54090909,974.1975,42.21,
2019-06-10 12:40:00,46.485,537.8275,38.8325,
2019-06-10 13:00:00,43.20840909,608.0325,34.7125,
2019-06-10 13:20:00,38.63318182,895.3375,43.19,
2019-06-10 13:40:00,32.66204545,433.2075,42.325,
2019-06-10 14:00:00,30.27613636,163.4175,27.195,
2019-06-10 14:20:00,24.72681818,113.3625,26.54,
2019-06-10 14:40:00,21.18431818,70.6325,21.485,
2019-06-10 15:00:00,16.95136364,103.1875,22.1225,
2019-06-10 15:20:00,12.52227273,78.4675,20.1125,
