"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"16/04/2020","2:50","x","0,99","12,19","11,65794318"
"16/04/2020","2:55","x","0,99","11,94","11,49524545"
"16/04/2020","3:00","x","0,99","11,46","11,305275"
"16/04/2020","3:05","x","0,98","10,9","11,10439545"
"16/04/2020","3:10","x","0,98","10,57","10,90439545"
"16/04/2020","3:15","x","0,98","10,42","10,714425"
"16/04/2020","3:20","x","0,98","10,35","10,54718182"
"16/04/2020","3:25","x","0,98","10,2","10,41990909"
"16/04/2020","3:30","x","0,98","10","10,34445455"
"16/04/2020","3:35","x","0,98","10,01","10,31624318"
"16/04/2020","3:40","x","0,98","10,17","10,30621364"
"16/04/2020","3:45","x","0,98","10,35","10,29530455"
"16/04/2020","3:50","x","0,99","10,54","10,28530455"
"16/04/2020","3:55","x","0,99","10,63","10,30075909"
"16/04/2020","4:00","x","0,99","10,59","10,35254773"
"16/04/2020","4:05","x","0,99","10,46","10,40706364"
"16/04/2020","4:10","x","0,98","10,3","10,45248864"
"16/04/2020","4:15","x","0,98","10,24","10,476125"
"16/04/2020","4:20","x","0,98","10,37","10,47888182"
"16/04/2020","4:25","x","0,99","10,57","10,47345682"
"16/04/2020","4:30","x","0,99","10,61","10,45075909"
"16/04/2020","4:35","x","0,99","10,67","10,43351591"
"16/04/2020","4:40","x","0,98","10,61","10,43351591"
"16/04/2020","4:45","x","0,98","10,57","10,42169773"
"16/04/2020","4:50","x","0,98","10,57","10,37445455"
"16/04/2020","4:55","x","0,98","10,34","10,31905909"
"16/04/2020","5:00","x","0,98","10,27","10,26908864"
"16/04/2020","5:05","x","0,98","10,3","10,22002727"
"16/04/2020","5:10","x","0,98","10,11","10,17366364"
"16/04/2020","5:15","x","0,97","9,85","10,11448409"
"16/04/2020","5:20","x","0,97","9,96","10,03699773"
"16/04/2020","5:25","x","0,98","10,06","9,987354545"
"16/04/2020","5:30","x","0,98","10,13","9,969909091"
"16/04/2020","5:35","x","0,98","10,1","9,979747727"
"16/04/2020","5:40","x","1,01","9,92","10,0177"
"16/04/2020","5:45","0","1,36","9,73","10,05939773"
"16/04/2020","5:50","0","2,09","9,83","10,06566818"
"16/04/2020","5:55","0","3,5","10,16","10,06823864"
"16/04/2020","6:00","0,05","5,65","10,56","10,08830909"
"16/04/2020","6:05","0,17","8,75","10,78","10,12769318"
"16/04/2020","6:10","0,49","15,78","10,79","10,18623182"
"16/04/2020","6:15","0,84","22,54","10,73","10,25782955"
"16/04/2020","6:20","1,34","32,11","11,1","10,31729318"
"16/04/2020","6:25","1,5","35,11","11,46","10,36054545"
"16/04/2020","6:30","1,56","35,65","11,66","10,394675"
"16/04/2020","6:35","1,7","38,12","11,77","10,428475"
"16/04/2020","6:40","2,15","46,05","11,97","10,53259773"
"16/04/2020","6:45","2,95","59,81","12,36","10,69626136"
"16/04/2020","6:50","3,6","71,63","12,85","10,92130227"
"16/04/2020","6:55","4,07","80,56","13,37","11,16520455"
"16/04/2020","7:00","5,04","97,31","14,03","11,38665909"
"16/04/2020","7:05","5,3","103","14,77","11,59562273"
"16/04/2020","7:10","6,36","121,3","15,74","11,68475"
"16/04/2020","7:15","7,57","136,25","16,96","12,06023636"
"16/04/2020","7:20","7,96","147,02","17,78","12,56762273"
"16/04/2020","7:25","9,62","174,85","18,62","13,20859545"
"16/04/2020","7:30","9,52","201,24","19,37","13,80315227"
"16/04/2020","7:35","16,44","361,73","23,21","14,74442727"
"16/04/2020","7:40","19,25","401,03","27,58","15,75322955"
"16/04/2020","7:45","21,02","425,13","29,92","16,42237045"
"16/04/2020","7:50","21,12","423","31,55","16,78986818"
"16/04/2020","7:55","23,41","467,46","32,6","16,98255909"
"16/04/2020","8:00","18,73","353,03","33,25","17,26476591"
"16/04/2020","8:05","11,45","213,09","29,82","17,70900909"
"16/04/2020","8:10","11,23","207,31","26,63","17,985075"
"16/04/2020","8:15","10,02","184,79","23,05","17,72463409"
"16/04/2020","8:20","12,44","223,17","22,31","17,72219773"
"16/04/2020","8:25","11,4","199,57","22,42","17,12626364"
"16/04/2020","8:30","11,14","206,14","23,04","16,09057045"
"16/04/2020","8:35","10,44","191,9","23,82","15,90704318"
"16/04/2020","8:40","18,08","358,51","24,89","15,96773409"
"16/04/2020","8:45","14,93","264,44","26,37","15,80033409"
"16/04/2020","8:50","26,98","519,93","27,75","16,09259091"
"16/04/2020","8:55","35,33","675,88","32,35","16,25857045"
"16/04/2020","9:00","19,99","400,13","33,88","16,40252727"
"16/04/2020","9:05","17,88","365,23","32,43","16,38409091"
"16/04/2020","9:10","22,32","427,91","29,11","16,665025"
"16/04/2020","9:15","13,69","256,56","26,61","16,56981364"
"16/04/2020","9:20","13,43","235,7","25,42","17,05996591"
"16/04/2020","9:25","9,85","175,57","23,63","17,57413864"
